sentence_id,doc_id,sentence_text,vote_count_boilerplate,vote_count_substantive,is_disagreement,judge_label_gpt5_4_mini,judge_label_sonnet4_6,judge_label_qwen3_4b,judge_reason_gpt5_4_mini,judge_reason_sonnet4_6,judge_reason_qwen3_4b,audit_override_label,audit_note,audit_judge_signature
44116,NKE_Q3-2025,"What I will say, I spent some time over there in December.",2,1,True,boilerplate,substantive,boilerplate,Personal aside without business content.,"Management references a specific trip in December to a location, indicating firsthand operational or market intelligence gathering relevant to business discussion.",Vague reference to time spent in December without specific business context.,substantive,,97b0d184f0de48d6a9320516c2098834525789a4
20026,FAST_Q4-2024,"And we're going to touch on a whole bunch of that, Dave, at our Investor Day as well.",1,2,True,substantive,boilerplate,substantive,References upcoming Investor Day business discussion.,Generic transition referencing Investor Day without specifying a business topic; process-driving hand-off language.,Announces Investor Day discussion of growth opportunities,substantive,,97b0d184f0de48d6a9320516c2098834525789a4
44501,NKE_Q3-2026,"Brian, I think the easy answer for me to say it's a little bit of both, right?",2,1,True,substantive,boilerplate,boilerplate,Answers a business question about strategy.,Conversational filler/transition acknowledging a question without conveying any material business content.,Analyst name intro with conversational filler,substantive,,97b0d184f0de48d6a9320516c2098834525789a4
32899,INTC_Q4-2025,"So it's parallelly on the IP readiness and also our yield readiness then is, I think, satisfied.",1,2,True,substantive,substantive,boilerplate,"Discusses IP and yield readiness, a business/operational matter.","Discusses operational readiness on two specific dimensions (IP readiness and yield readiness), indicating business execution status.",Pronoun-heavy sentence without clear business topic reference (likely technical jargon),,,97b0d184f0de48d6a9320516c2098834525789a4
4349,AVGO_Q1-2026,Anybody can design a chip in a lab that works well.,1,2,True,substantive,substantive,boilerplate,General business-relevant statement about chip design capability.,"Makes a competitive/strategic claim about chip design difficulty, implying differentiation context.",Generic statement about chip design without business context,,,97b0d184f0de48d6a9320516c2098834525789a4
44594,NKE_Q4-2024,"And of course, this month's Jayson versus Luka NBA Finals matchup marked the first time Jordan signature athletes met on basketball's pinnacle stage.",2,1,True,boilerplate,substantive,boilerplate,Non-business sports commentary.,Describes a specific marketing/brand milestone—Jordan signature athletes (Jayson and Luka) meeting in the NBA Finals—relevant to brand strategy and athlete endorsement performance.,Non-business context about sports event,substantive,,97b0d184f0de48d6a9320516c2098834525789a4
20974,FDX_Q1-2025,I'm not going to comment further on Freight.,1,2,True,substantive,substantive,boilerplate,Refers to a business segment and declines further comment.,Management explicitly declining to comment on a specific business segment (Freight) conveys a deliberate stance on a material topic.,One-word answer to analyst question without business content,,,97b0d184f0de48d6a9320516c2098834525789a4
19489,FAST_Q4-2023,It sounds like it's probably more recent.,2,1,True,boilerplate,boilerplate,substantive,Vague filler without business content.,Vague conversational filler with no material business content.,Pronoun 'it' refers to business context with implied assessment of recency,,,97b0d184f0de48d6a9320516c2098834525789a4
9913,BLK_Q4-2023,"Now I wish I have known that put BlackRock ahead of GIP because then I want to ask for a higher price, but it's all worked out very well.",1,2,True,substantive,substantive,boilerplate,Reflects on a deal outcome and pricing.,"Management reflects on the BlackRock/GIP deal pricing, revealing an attitude about the transaction outcome.",Personal reflection with no business content,,,97b0d184f0de48d6a9320516c2098834525789a4
24374,FDX_Q4-2025,"Mike brings vast external technology experience, having most recently spent time in the fuel supply and the retail sectors.",1,2,True,boilerplate,substantive,substantive,Speaker introduction/background only.,"Describes a specific person's professional background and relevant sector experience, which is material context for a leadership appointment.",Specific thanks for Mike's external tech experience and sectors he worked in,substantive,,97b0d184f0de48d6a9320516c2098834525789a4
52792,WFC_Q1-2025,"So pretty -- probably pretty easy to model, but pretty small overall.",1,2,True,substantive,substantive,boilerplate,Gives an assessment of size and modeling.,"Comments on the size and modelability of a financial item, conveying a business-relevant assessment.",Vague assessment without specific business context,,,97b0d184f0de48d6a9320516c2098834525789a4
20043,FAST_Q4-2024,And so it's really a case of being special in all of them.,2,1,True,boilerplate,substantive,boilerplate,Vague filler without clear business content.,"Expresses a strategic view about differentiation across multiple areas, carrying a business implication.",Vague statement without specific business context,substantive,,97b0d184f0de48d6a9320516c2098834525789a4
53626,WFC_Q2-2025,"The Fed has said that we're going to give you more information, which would be super helpful to us so that we can understand what the future volatility looks like.",1,2,True,substantive,substantive,boilerplate,"Discusses Fed information and future volatility, a business-related issue.","References the Fed's commitment to provide more information and discusses implications for understanding future volatility, which is material risk and regulatory commentary.",Generic statement about Fed providing information without specific business impact,,,97b0d184f0de48d6a9320516c2098834525789a4
34882,JNJ_Q2-2025,"We may come to it later, trispecific that we've started outlining and presenting data on.",1,2,True,substantive,substantive,boilerplate,Mentions a product area and data presentation.,References a specific pipeline asset (trispecific) and data being presented — material product/pipeline commentary.,Unclear reference with no clear business content,,,97b0d184f0de48d6a9320516c2098834525789a4
40515,JPM_Q3-2025,"Then, obviously, you've got a lot of floating rate instruments.",1,2,True,substantive,substantive,boilerplate,Mentions the company's floating rate instruments.,"References floating rate instruments as a financial consideration, substantive capital/balance sheet commentary.",Generic reference to financial instruments without specific business context,,,97b0d184f0de48d6a9320516c2098834525789a4
49767,PLTR_Q2-2024,"And last not least, the world is on the precipice of what could be a very severe set of violent interactions in the Middle East.",1,2,True,substantive,substantive,boilerplate,Contains a substantive geopolitical risk assessment.,Raises a specific geopolitical risk (potential violent interactions in the Middle East) as a material risk factor.,Generic global risk statement without specific business impact,,,97b0d184f0de48d6a9320516c2098834525789a4
777,AMD_Q1-2025,"For my second question, I wanted to ask about kind of the trends in Q1.",1,2,True,substantive,substantive,boilerplate,Introduces a question about Q1 trends.,"Business-related question about Q1 trends, substantive Q&A inquiry.",Analyst question intro without specific business topic,,,97b0d184f0de48d6a9320516c2098834525789a4
35858,JNJ_Q3-2025,"We do not believe that the one you're referring to has any significant materiality and shouldn't impact, we would say, moderate, certainly not material from an overall performance perspective.",1,2,True,substantive,substantive,boilerplate,Assesses materiality and impact on performance.,"Assesses materiality and performance impact of a specific issue, conveying a business risk judgment.",Generic statement about materiality without specific business impact,,,97b0d184f0de48d6a9320516c2098834525789a4
45571,NVDA_Q1-2025,It's an intention-understanding computer.,1,2,True,substantive,substantive,boilerplate,Describes a product or technology.,Describes a specific product or technology concept with material business relevance.,Generic technical statement without business content,,,97b0d184f0de48d6a9320516c2098834525789a4
55007,WFC_Q4-2023,And the curves are right on top of what that is.,2,1,True,substantive,boilerplate,boilerplate,Refers to curve levels in a business context.,Vague pronoun-only sentence with no identifiable business content or context provided.,Vague reference without clear business context or specific metric,substantive,,97b0d184f0de48d6a9320516c2098834525789a4
6051,AVGO_Q4-2024,"We only one use for it -- 2 uses for it, we've always said.",1,2,True,substantive,substantive,boilerplate,Explains the company's uses for a business item.,"References a stated policy or constraint on the use of capital/resources, conveying a substantive business position.",Pronoun-heavy sentence without clear business content; vague reference to 'it' without context,,,97b0d184f0de48d6a9320516c2098834525789a4
55826,WFC_Q4-2025,"We just want to be really careful about providing any kind of guidance in any way, shape or form that boxes any of us in relative to our inability to predict that.",1,2,True,substantive,substantive,boilerplate,Provides guidance-related commentary on uncertainty.,Management expresses a deliberate policy of avoiding guidance due to unpredictability — substantive statement about guidance strategy and risk.,Guidance caution statement,,,97b0d184f0de48d6a9320516c2098834525789a4
6167,AVGO_Q4-2025,"And before I get into details of that quarter, let me recap the year.",2,1,True,substantive,boilerplate,boilerplate,Signals a recap of the year's business performance.,Transition sentence that only signals a recap of the year without naming any specific business topic.,Transition sentence without specific business topic (recap of year),boilerplate,,97b0d184f0de48d6a9320516c2098834525789a4
1813,AMD_Q3-2024,"And then, Lisa, you just talked about it being up left.",1,2,True,substantive,substantive,boilerplate,Refers to a business topic already under discussion.,"References a specific prior business statement about direction/trend, carrying a business implication from context.",Pronoun-heavy sentence without clear business content reference,,,97b0d184f0de48d6a9320516c2098834525789a4
33577,JNJ_Q1-2025,"Last week, the euro spot rate relative to the U.S. dollar was 1.11.",2,1,True,boilerplate,substantive,boilerplate,Just states an exchange rate observation.,Provides a specific FX rate (euro/USD at 1.11) relevant to financial results or guidance.,Pure market data point without business context,substantive,,97b0d184f0de48d6a9320516c2098834525789a4
7453,BLK_Q1-2026,"Strong retirement systems deepen on deep functioning capital markets, and deep capital markets are built in part by the savings of people planning for retirement.",1,2,True,substantive,substantive,boilerplate,Discusses capital markets and retirement systems.,"Articulates a strategic view on the relationship between retirement systems and capital markets, relevant to business strategy or market positioning.",Generic market statement without specific business context,,,97b0d184f0de48d6a9320516c2098834525789a4
40757,JPM_Q4-2023,"And yes, and of course, you will, as I noted, be hearing more from us at Investor Day and between now and Investor Day.",2,1,True,boilerplate,boilerplate,substantive,Generic forward-looking handoff to Investor Day.,References upcoming Investor Day communications without naming a specific business topic; generic forward-looking process statement.,Future commitment to Investor Day communications,,,97b0d184f0de48d6a9320516c2098834525789a4
13736,C_Q3-2024,"And last quarter, it was about $1.6 billion or so of a negative assuming a 100 basis point decline across the curve, assuming a static balance sheet and cross currencies.",1,2,True,substantive,substantive,boilerplate,Provides a quantitative sensitivity estimate.,Provides a specific quantitative sensitivity ($1.6 billion negative impact) to a 100 basis point rate decline under stated assumptions.,Assumes specific financial model parameters without business content,,,97b0d184f0de48d6a9320516c2098834525789a4
579,AMD_Q1-2025,And wanted to double-click on Client in particular.,1,2,True,substantive,substantive,boilerplate,Refers to a business topic being discussed.,"Signals intent to focus discussion on a specific business segment (Client), previewing a substantive topic.",Pronoun-heavy sentence without clear business content reference,,,97b0d184f0de48d6a9320516c2098834525789a4
53724,WFC_Q2-2025,"Chris, I mean, look, I'd just come back to what we talked about a little bit earlier in the call.",2,1,True,substantive,boilerplate,boilerplate,Refers back to prior business discussion.,Conversational filler redirecting to earlier discussion without adding new business content.,Conversational filler with pronoun-heavy language,boilerplate,,97b0d184f0de48d6a9320516c2098834525789a4
7184,BLK_Q1-2025,"Analysts - MD & Head of the North American Asset Managers, Brokers & Exchanges Team So there's a lot to talk about these days, but I wanted to come back to some comments that you made in your annual letter around private markets entering the retail channel.",2,1,True,boilerplate,substantive,boilerplate,Analyst introduction and setup.,"Analyst raises a specific business topic (private markets entering the retail channel) for discussion, making it substantive Q&A content.",Analyst introduction and conversational filler,substantive,,97b0d184f0de48d6a9320516c2098834525789a4
48380,NVDA_Q4-2025,"Analysts - MD in Equity Research & Senior Semiconductor Analyst Colette, if you wouldn't mind confirming if Q1 is the bottom for gross margins?",2,1,True,boilerplate,substantive,boilerplate,Analyst identification and question.,"Business-related question about whether Q1 is the gross margin bottom, which is material financial content.",Analyst introduction and question,substantive,,97b0d184f0de48d6a9320516c2098834525789a4
31579,INTC_Q3-2025,"Dave, I want to follow-up on 2 things that I think I heard you say on 18A.",2,1,True,boilerplate,substantive,boilerplate,Generic follow-up and speaker handoff.,"Analyst follow-up question referencing a specific business topic (18A), which is a substantive Q&A inquiry.",Analyst follow-up request without business content,boilerplate,,97b0d184f0de48d6a9320516c2098834525789a4
9070,BLK_Q3-2024,But money in motion occurs every quarter.,1,2,True,substantive,substantive,boilerplate,Comments on recurring market activity.,States a recurring business dynamic (money in motion every quarter) relevant to flows/strategy discussion.,Generic statement about recurring financial activity,,,97b0d184f0de48d6a9320516c2098834525789a4
48332,NVDA_Q4-2025,"We will be at the TD Cowen Health Care Conference in Boston on March 3 and at the Morgan Stanley Technology, Media and Telecom Conference in San Francisco on March 5.",2,1,True,boilerplate,boilerplate,substantive,Just lists conference appearances.,"Announces upcoming investor conference appearances, which is a standard IR logistics disclosure.",Specific conference dates and locations for company participation,,,97b0d184f0de48d6a9320516c2098834525789a4
19421,FAST_Q4-2023,"And Tim is famous for giving you a 20-minute tour, but taking 60 minutes to do it because he loves what he does.",1,2,True,boilerplate,substantive,substantive,"Generic praise about a speaker, not business content.",Specific praise characterizing Tim's passion and behavior in a business presentation context — reveals attitude about a named individual's contribution.,Comment on Tim's process and passion,substantive,,97b0d184f0de48d6a9320516c2098834525789a4
48524,NVDA_Q4-2025,"And today, there's 1 billion cars on the road.",1,2,True,substantive,substantive,boilerplate,Provides a market size fact relevant to the business.,States a specific market size figure (1 billion cars) relevant to addressable market discussion.,Generic statement without business context,,,97b0d184f0de48d6a9320516c2098834525789a4
17022,FAST_Q1-2025,You're not going to do it if you think it could disappear in 2.,1,2,True,substantive,substantive,boilerplate,Business-related judgment about whether to proceed.,Expresses a business decision rationale tied to risk/uncertainty about a market or investment opportunity.,Conversational filler without business content,,,97b0d184f0de48d6a9320516c2098834525789a4
51116,PLTR_Q4-2023,I'm telling them it's time to pack up and come to America.,1,2,True,substantive,substantive,boilerplate,Describes a concrete business action about moving to America.,"Reflects a strategic stance or message about attracting talent/business to America, indicating a business-related action or attitude.","Non-business context, personal instruction",,,97b0d184f0de48d6a9320516c2098834525789a4
53582,WFC_Q2-2025,Even though we were running capital levels at the -- before the SCB adjustment was put in place.,1,2,True,substantive,substantive,boilerplate,Refers to capital levels and regulatory adjustment.,"References capital levels relative to the SCB adjustment, providing context on regulatory capital management.",Incomplete sentence with capital levels reference but no clear business content,,,97b0d184f0de48d6a9320516c2098834525789a4
12084,C_Q1-2025,And just remember the nature of our business.,2,1,True,boilerplate,substantive,boilerplate,Generic reminder with no specific business content.,"Directs attention to the nature of the business as context for a business point, functioning as a substantive transition to business-specific content.",Generic statement about business nature without specific details,substantive,,97b0d184f0de48d6a9320516c2098834525789a4
41395,JPM_Q4-2025,"So to answer your question directly, breaking down 2026, I obviously don't want to kind of break our tradition of not guiding on fees/NIR, given how market dependent they are and volatile they are.",1,2,True,substantive,substantive,boilerplate,Discusses guidance policy and fee/NIR volatility.,Directly addresses 2026 guidance policy on fees/NIR and explains rationale tied to market volatility.,Clarifies fee guidance policy without material business content,,,97b0d184f0de48d6a9320516c2098834525789a4
23688,FDX_Q3-2026,Just a huge shout-out to the operators as they're bringing this volume on.,1,2,True,boilerplate,substantive,substantive,Generic praise/thanks to operators.,"Specific praise directed at operators for bringing on significant volume, referencing a concrete operational achievement.",Specific thanks for operators' contribution to volume,substantive,,97b0d184f0de48d6a9320516c2098834525789a4
38074,JPM_Q1-2025,"And on the yield curve you're using, which we know will not happen.",1,2,True,substantive,substantive,boilerplate,Refers to a yield curve assumption in a business discussion.,"References a specific yield curve assumption used in financial modeling, relevant to interest rate risk discussion.",Unclear reference to yield curve without business implications,,,97b0d184f0de48d6a9320516c2098834525789a4
50135,PLTR_Q2-2025,"And us being able to win while having an opinion does have an impact on the world, if only because the people who think we are wrong are not good, have to be a little jealous and suffer.",1,2,True,substantive,substantive,boilerplate,Contains a personal attitude statement tied to a broader matter.,"Management expressing a view about the company's competitive stance and its broader impact, reflecting attitude toward strategy and competition.",Vague philosophical statement without business impact,,,97b0d184f0de48d6a9320516c2098834525789a4
6110,AVGO_Q4-2024,"So we -- based on that, we are -- and based on the depth of our engagement today, this didn't just start.",1,2,True,substantive,substantive,boilerplate,Refers to ongoing engagement and business activity.,References depth of current engagement and implies an ongoing business relationship or process — substantive commentary on business activity.,Pronoun-heavy with unclear reference; no clear business topic,,,97b0d184f0de48d6a9320516c2098834525789a4
39538,JPM_Q2-2025,I'm just curious if there's a valuation limitation the thinking?,1,2,True,substantive,substantive,boilerplate,"Asks about valuation, a business-related topic.",Asks a substantive Q&A question about whether valuation is a limiting factor in a business decision.,Question about valuation limitations without specific business context,,,97b0d184f0de48d6a9320516c2098834525789a4
38278,JPM_Q1-2026,"Obviously, the rules aren't final yet, and this is what the common process is for.",1,2,True,substantive,substantive,boilerplate,Discusses rules and regulatory process.,"Commentary on the status of regulatory rules and the standard rulemaking process, relevant to business risk/regulatory context.",Generic process description without specific business impact,,,97b0d184f0de48d6a9320516c2098834525789a4
14619,C_Q4-2023,"As it relates to Russia, we've also included a slide in the appendix.",2,1,True,boilerplate,boilerplate,substantive,Refers to a slide appendix.,Navigation/reference sentence directing to an appendix slide; no business content conveyed directly.,"References a specific slide in appendix related to Russia, indicating business context",,,97b0d184f0de48d6a9320516c2098834525789a4
52606,WFC_Q1-2025,I can understand why you want me to try to do that.,2,1,True,boilerplate,boilerplate,substantive,Generic conversational response,Generic conversational filler with no business content.,Management view on past action,,,97b0d184f0de48d6a9320516c2098834525789a4
46737,NVDA_Q2-2026,"In closing, let me highlight upcoming events for the financial community.",2,1,True,boilerplate,boilerplate,substantive,Generic closing transition to upcoming events.,Generic closing transition about upcoming investor events without naming specific business topics.,"Highlights upcoming events for financial community, indicating strategic focus on business communications",,,97b0d184f0de48d6a9320516c2098834525789a4
6038,AVGO_Q4-2024,"And to answer the second part too, possibly, yes, at least one of them, we believe, yes.",1,2,True,substantive,substantive,boilerplate,Answers a business-related question.,"Provides a direct answer (affirmative belief) to a business question, conveying a specific management view on an outcome.",One-word answers with no material business content,,,97b0d184f0de48d6a9320516c2098834525789a4
20866,FDX_Q1-2025,"DRIVE savings, you obviously have called out.",1,2,True,substantive,substantive,boilerplate,"Refers to DRIVE savings, a business initiative","References DRIVE savings initiative, a specific operational/efficiency program.",Pronoun-heavy filler without clear business content,,,97b0d184f0de48d6a9320516c2098834525789a4
12053,C_Q1-2025,And I think I don't think we should lose.,2,1,True,substantive,boilerplate,boilerplate,Expresses a business-related concern about losing.,"Vague, incomplete filler sentence with no discernible business content.",Unclear statement with no clear business content,substantive,,97b0d184f0de48d6a9320516c2098834525789a4
20445,FAST_Q4_2025,And I just want to be clear on why that's the case.,1,2,True,substantive,boilerplate,substantive,Explains a business-related point.,Transitional filler sentence with no business content; only signals an upcoming clarification.,Clarifies business reason for a specific action or decision,substantive,,97b0d184f0de48d6a9320516c2098834525789a4
32059,INTC_Q4-2023,"So I'll say Q4 to Q1, all explainable in those context.",1,2,True,substantive,substantive,boilerplate,Explains Q4 to Q1 changes in business context.,"Provides an explanation/assessment of Q4-to-Q1 performance changes, which is a business performance commentary.",Vague time frame reference without business context,,,97b0d184f0de48d6a9320516c2098834525789a4
45718,NVDA_Q1-2025,And the memory that's used by Grace is LPDDR.,1,2,True,substantive,substantive,boilerplate,Specific product memory specification.,Specifies technical product detail about memory type used by Grace chip.,Technical detail without business context,,,97b0d184f0de48d6a9320516c2098834525789a4
1609,AMD_Q2-2025,"Yes, Ben, it will take some time to ramp, just given -- particularly today, I mean, we're sitting already in early August, so I don't think you would see a lot of it in Q3.",1,2,True,substantive,substantive,boilerplate,Gives guidance on ramp timing and quarterly impact.,"Provides guidance on ramp timing, specifically noting limited Q3 impact, which is material forward-looking operational commentary.",Pronoun-heavy with conversational filler about timeline,,,97b0d184f0de48d6a9320516c2098834525789a4
50014,PLTR_Q2-2025,"Now when you look -- obviously, looking at numbers, there's numbers and what do they mean?",2,1,True,substantive,boilerplate,boilerplate,Business-related discussion of numbers and their meaning.,Vague rhetorical filler with no specific business content conveyed.,Question about numbers with conversational filler,substantive,,97b0d184f0de48d6a9320516c2098834525789a4
11214,C_Q1-2024,"It's enabled transparency, greater accountability.",1,2,True,substantive,substantive,boilerplate,States business benefits from the initiative.,States operational outcomes—transparency and greater accountability—achieved through a business initiative.,Pronoun-heavy without clear business context,,,97b0d184f0de48d6a9320516c2098834525789a4
47210,NVDA_Q3-2025,"On the other hand, secondarily, I guess, is that on top of these systems are going to be -- we're going to be creating a new type of capability called AI.",1,2,True,substantive,substantive,boilerplate,Describes a new capability being created.,"Discusses a strategic capability (AI) being built on top of existing systems, conveying a forward-looking product/technology plan.","Pronoun-heavy with unclear reference, conversational filler, no clear business action or metric",,,97b0d184f0de48d6a9320516c2098834525789a4
44978,NKE_Q4-2025,"You have to dare to try, and I deeply admire the monumental effort.",1,2,True,substantive,boilerplate,substantive,Expresses admiration for a concrete effort.,Generic motivational/admiration statement with no specific business content.,Managers' reflection on past business effort with specific admiration,substantive,,97b0d184f0de48d6a9320516c2098834525789a4
38618,JPM_Q1-2026,Sometimes they we take a risk that we were on.,1,2,True,substantive,substantive,boilerplate,Refers to taking a business risk.,"Reflects on risk-taking behavior in business decisions, a management commentary on strategy/execution.",Unclear reference with no clear business context,,,97b0d184f0de48d6a9320516c2098834525789a4
35851,JNJ_Q3-2025,"But of course, the data will be the data as we say, when we get the clinical results.",1,2,True,substantive,substantive,boilerplate,"Refers to clinical results, a business/operational topic.","References upcoming clinical results and their data-driven nature, relevant to business/product pipeline.",Pronoun-heavy sentence with vague reference to clinical results without specific business impact,,,97b0d184f0de48d6a9320516c2098834525789a4
18620,FAST_Q3-2024,And I'd be careful how I say this because I don't want to send a message internally to confuse people.,1,2,True,substantive,substantive,boilerplate,Explains a communication concern tied to internal messaging.,"Reveals management's deliberate caution about messaging to avoid internal confusion, reflecting a strategic communication decision.",Internal messaging caution (process-driven),,,97b0d184f0de48d6a9320516c2098834525789a4
1195,AMD_Q2-2024,And then just a follow-up on another part of the gross margin angle.,1,2,True,substantive,boilerplate,substantive,Introduces a follow-up on gross margin.,Conversational transition introducing a follow-up question topic without substantive content itself.,Follow-up on gross margin angle indicates business topic discussion,substantive,,97b0d184f0de48d6a9320516c2098834525789a4
44873,NKE_Q4-2024,"I guess as we look beyond '25, you've given us a work here, where you've got a lot of work you're going to do here.",1,2,True,substantive,substantive,boilerplate,Discusses future work and plans beyond 2025.,Analyst question about business outlook and work planned beyond 2025.,Vague reference to future work without specific business content,,,97b0d184f0de48d6a9320516c2098834525789a4
35360,JNJ_Q3-2024,This winning strategy in RF has been a full portfolio.,1,2,True,substantive,substantive,boilerplate,Mentions a winning strategy in RF.,Describes the company's RF business strategy as a full portfolio approach.,Generic statement about strategy without specific business context,,,97b0d184f0de48d6a9320516c2098834525789a4
41627,JPM_Q4-2025,This isn't like you're going to build 3 points of margin and you get to keep it.,1,2,True,substantive,substantive,boilerplate,"Comments on margin sustainability, a business issue.","Commentary on the sustainability of margin gains, expressing a specific view on the durability of financial performance improvements.",Generic statement without specific business action or metric,,,97b0d184f0de48d6a9320516c2098834525789a4
18623,FAST_Q3-2024,Because sometimes you don't do yourself any favors.,1,2,True,substantive,boilerplate,substantive,Comments on execution and business outcomes.,Vague conversational filler with no specific business content or reference.,Reflects on past business outcomes with assessment,substantive,,97b0d184f0de48d6a9320516c2098834525789a4
9983,BLK_Q4-2023,So are you in the market now for a fund or will soon be and do you expect to exceed that?,1,2,True,substantive,substantive,boilerplate,Asks about a fund and expectations.,Business-related Q&A question about capital raising activity and fund size expectations.,Question about fund market participation without business context,,,97b0d184f0de48d6a9320516c2098834525789a4
40073,JPM_Q3-2024,"Again, shouldn't change the overall revenue expectation.",1,2,True,substantive,substantive,boilerplate,Gives guidance on revenue expectation.,"States an expectation about overall revenue guidance remaining unchanged, which is material financial commentary.",Generic statement about revenue expectations without specific business impact,,,97b0d184f0de48d6a9320516c2098834525789a4
38164,JPM_Q1-2025,"And I'd say you look at these rules and regulations, see Europe.",1,2,True,substantive,substantive,boilerplate,"Refers to regulations and Europe, a business-related topic.","References regulatory environment in Europe as a business consideration, conveying a risk or strategic observation.",Generic reference to rules and regulations without specific business context,,,97b0d184f0de48d6a9320516c2098834525789a4
