sentence_id,doc_id,sentence_text,judge_label_gpt5_4_mini,judge_label_sonnet4_6,judge_reason_gpt5_4_mini,judge_reason_sonnet4_6,audit_override_label,audit_note
20445,FAST_Q4_2025,And I just want to be clear on why that's the case.,substantive,boilerplate,Explains a business-related point.,Transitional filler sentence with no business content; only signals an upcoming clarification.,substantive,
50014,PLTR_Q2-2025,"Now when you look -- obviously, looking at numbers, there's numbers and what do they mean?",substantive,boilerplate,Business-related discussion of numbers and their meaning.,Vague rhetorical filler with no specific business content conveyed.,substantive,
44978,NKE_Q4-2025,"You have to dare to try, and I deeply admire the monumental effort.",substantive,boilerplate,Expresses admiration for a concrete effort.,Generic motivational/admiration statement with no specific business content.,substantive,
1195,AMD_Q2-2024,And then just a follow-up on another part of the gross margin angle.,substantive,boilerplate,Introduces a follow-up on gross margin.,Conversational transition introducing a follow-up question topic without substantive content itself.,substantive,
18623,FAST_Q3-2024,Because sometimes you don't do yourself any favors.,substantive,boilerplate,Comments on execution and business outcomes.,Vague conversational filler with no specific business content or reference.,substantive,
17544,FAST_Q2-2024,It's Miguel and Tony stepping up international.,boilerplate,substantive,Brief personnel/role update without business detail.,Identifies specific individuals (Miguel and Tony) stepping up international operations ?? substantive operational/leadership action.,substantive,
54870,WFC_Q4-2023,"We're still -- we're not -- we're past the opening credits, but we're still in the beginning of the movie.",boilerplate,substantive,Metaphorical filler with no concrete business content.,"Expresses management's view on the stage of a business opportunity or cycle, conveying a strategic assessment.",substantive,
9808,BLK_Q4-2023,Our client needs have always been our compass.,substantive,boilerplate,States a business principle guiding client needs.,Generic high-level platitude about client focus with no specific business content.,substantive,
16360,FAST_Q1-2024,So it gives you a little bit of color into that as well.,substantive,boilerplate,Refers to business context and adds explanatory color.,Vague filler phrase with no specific business content conveyed.,substantive,
26365,GS_Q2-2024,Or is this something that's just behind closed doors?,boilerplate,substantive,Vague filler question without business content.,"Q&A question probing whether a business matter is public or private, substantive inquiry about company activity.",substantive,
11382,C_Q1-2024,And so this is -- we'll continue to do that.,substantive,boilerplate,Refers to continuing a business action.,Vague pronoun-only filler with no identifiable business content; does not convey a specific plan or commitment.,substantive,
23589,FDX_Q3-2026,"As a reminder, they'll be holding their FedEx Freight Investor Day on April 8 in New York City.",boilerplate,substantive,Event announcement and reminder.,"Announces a specific upcoming investor event (FedEx Freight Investor Day) with date and location, which is material business information.",boilerplate,
41339,JPM_Q4-2025,Question Analysts - Senior MD & Senior Research Analyst So I want to ask you on the stablecoin issue.,boilerplate,substantive,Analyst question intro and topic setup.,"Introduces a specific business/regulatory topic (stablecoin issue) as a Q&A question, which is substantive.",substantive,
39980,JPM_Q3-2024,We try to grow economies and things like that.,substantive,boilerplate,Mentions a business growth strategy.,"Vague, generic statement with no specific business content or material detail.",substantive,
40067,JPM_Q3-2024,"But emphasize the word potential, to Jamie's point.",boilerplate,substantive,Generic clarification without business content.,"Qualifies a prior business claim about potential, referencing Jamie's point on a specific business topic.",substantive,
21340,FDX_Q1-2026,Just want to get a sense of what that is?,boilerplate,substantive,Generic question with no business content.,Business-related question in Q&A seeking clarification on a specific metric or topic.,substantive,
52341,WFC_Q1-2025,"Ray was my first hire when I joined Wells, and I worked with Ray for much of the 38 years we've known each other.",boilerplate,substantive,Personal introduction and relationship context.,"Specific praise referencing a named individual's long tenure and relationship with the speaker, conveying a substantive personal/professional assessment.",substantive,
37650,JPM_Q1-2024,Analysts - Research Analyst You mentioned one use of capital is to lean into the trading businesses with your balance sheet.,boilerplate,substantive,Analyst intro and restating prior point.,"References a specific capital allocation strategy (leaning into trading businesses with balance sheet), a material business topic.",substantive,
19488,FAST_Q4-2023,And I would say that over time -- so I can't speak to -- I don't know what period of time you're hearing about.,substantive,boilerplate,Discusses timing and outlook in response to a business question.,Hedging/deflecting language with no material business content.,substantive,
41169,JPM_Q4-2024,"I mean, I think you've kind of answered your own questions, in the sense.",substantive,boilerplate,Addresses the prior question substantively.,Conversational filler acknowledging the analyst's question without adding business content.,substantive,
50146,PLTR_Q2-2025,"This is a very special environment, and I'm super proud to somehow ended up being your leader.",substantive,boilerplate,Personal leadership comment tied to the business context.,Generic personal sentiment and pride with no material business content.,substantive,
46046,NVDA_Q1-2026,"It's a little bit like the energy infrastructure, electricity.",boilerplate,substantive,Generic analogy without material business content.,Analogy used to characterize a business or market dynamic (energy/electricity infrastructure); conveys a strategic or conceptual point about the business.,substantive,
4305,AVGO_Q1-2026,"Just clarification, Hock, on the greater than $100 billion.",substantive,boilerplate,Clarification question about a financial figure.,Brief clarification prompt with no material business content; just a conversational setup referencing a figure.,substantive,
52214,WFC_Q1-2024,And then everything else is sort of moving around like as you would expect.,substantive,boilerplate,Describes business conditions and movement in operations.,Vague filler sentence with no specific business content or claim.,substantive,
25416,GS_Q1-2025,"Well, first, I'll comment on the macro, Steven.",substantive,boilerplate,Introduces a discussion of macro conditions.,Pure transition/turn-taking phrase directing the conversation without introducing specific business content.,substantive,
51922,WFC_Q1-2024,"The table on the page shows the allowance for credit losses coverage ratio for commercial real estate, including the breakdown of the office portfolio.",boilerplate,substantive,Refers only to a table on the page.,Directs attention to specific financial data ?? allowance for credit losses coverage ratio for commercial real estate including office portfolio breakdown.,substantive,
35449,JNJ_Q3-2025,"Joaquin Duato, our Chairman and CEO, will discuss our business performance and growth drivers.",boilerplate,substantive,Speaker introduction and topic handoff.,"Identifies specific topics (business performance and growth drivers) to be discussed by the CEO, making it a substantive transition.",substantive,
39994,JPM_Q3-2024,And so I'm just -- we're just quite patient in that.,substantive,boilerplate,Comments on business patience and timing.,Vague filler expressing patience without any specific business context or content.,substantive,
54373,WFC_Q3-2025,"So I think hopefully, that will continue.",substantive,boilerplate,Expresses an expectation about business performance continuing.,Vague forward-looking filler with no specific business content or referent.,substantive,
35950,JNJ_Q4-2023,"Additionally, several of the products and compounds discussed today are being developed in collaboration with strategic partners or licensed from other companies.",substantive,boilerplate,Discusses product development and partnerships.,Legal/disclosure disclaimer about collaborative development and licensing arrangements.,substantive,
1373,AMD_Q2-2025,"Question Analysts - Research Analyst Lisa, I want to start on the Client business.",boilerplate,substantive,Analyst introduction and topic setup.,Introduces a specific business topic (Client business) for Q&A discussion.,substantive,
21897,FDX_Q2-2025,"Well, it is very early for us to comment on something like that.",substantive,boilerplate,Comments on timing of a business-related issue.,Vague deflection with no business content conveyed.,substantive,
46753,NVDA_Q2-2026,"It thinks and does a plan, and it might use tools.",boilerplate,substantive,"Vague, non-business filler statement.","Describes functional behavior of an AI agent (planning and tool use), which is product/technology operational detail.",substantive,
34790,JNJ_Q2-2025,Turning to other notable items on the P&L.,boilerplate,substantive,Generic transition to another topic.,Transition sentence that identifies a specific financial topic (notable P&L items) about to be discussed.,substantive,
34420,JNJ_Q2-2024,Question Analysts - Senior Analyst Maybe just a question on RYBREVANT.,boilerplate,substantive,Analyst question intro with no business content.,"Analyst question about a specific product (RYBREVANT), constituting a business-related inquiry.",substantive,
7746,BLK_Q1-2026,"What I will say is that at BlackRock, we have a long-standing and continuously growing partnership with NASDAQ.",boilerplate,substantive,Generic partnership statement without material detail.,"Describes a long-standing and growing strategic partnership with NASDAQ, which is material business relationship commentary.",substantive,
34502,JNJ_Q2-2024,And so we've got a lot of reasons to believe.,substantive,boilerplate,Expresses a business-related outlook and confidence.,Vague filler sentence with no specific business content or claim.,substantive,
